Energy(eV),eps1,eps2,n,kappa,alpha(cm^-1)
1.263828853607192881e+00,2.710009679686369280e+18,2.465703839187775040e+17,1.647909789783902884e+09,7.481307091182224452e+07,9.583171797711228516e+12
1.271170881825839150e+00,2.716592012196760576e+18,2.613015244916252160e+17,1.650109394674056292e+09,7.917703072748024762e+07,1.020109219708343555e+13
1.278512910044485640e+00,2.728996606572834816e+18,2.759936202468205440e+17,1.654072828112229347e+09,8.342849708794596791e+07,1.081093020423549609e+13
1.285854938263132130e+00,2.734157063864902656e+18,2.905306612050234880e+17,1.655854258062064648e+09,8.772833109873102605e+07,1.143339928229128320e+13
1.293196966481778620e+00,2.745122822259392512e+18,3.048277595659651200e+17,1.659385179191706657e+09,9.184960893601879478e+07,1.203886416798166602e+13
1.300538994700425111e+00,2.749117583309760000e+18,3.187975129009832960e+17,1.660821767761936665e+09,9.597583530308182538e+07,1.265111503217137305e+13
1.307881022919071601e+00,2.758793601767532544e+18,3.323592984601559040e+17,1.663961417029257298e+09,9.986989333368393779e+07,1.323873076333303516e+13
1.315223051137718091e+00,2.761958190301087744e+18,3.454507081216143360e+17,1.665148055480543852e+09,1.037297275112035722e+08,1.382757983495303711e+13
1.322565079356364581e+00,2.770597971536999424e+18,3.580235253121327360e+17,1.667967702832043171e+09,1.073232787134437114e+08,1.438647876585495312e+13
1.329907107575011072e+00,2.773310812856794112e+18,3.700365615517742720e+17,1.669011577012403011e+09,1.108550014416777194e+08,1.494239197039377734e+13
1.337249135793657562e+00,2.781234579010121728e+18,3.814707117307171840e+17,1.671602268755557060e+09,1.141033123910236061e+08,1.546514882297620898e+13
1.344591164012304052e+00,2.783886505319646720e+18,3.923077989272636160e+17,1.672614615906862736e+09,1.172738164536967725e+08,1.598213656371029688e+13
1.351933192230950320e+00,2.791464320174359552e+18,4.025603957821603200e+17,1.675083002389540911e+09,1.201613278887969702e+08,1.646506598507970898e+13
1.359275220449596810e+00,2.794444705593582592e+18,4.122401234314424960e+17,1.676176132352188110e+09,1.229704073082534820e+08,1.694148739478565039e+13
1.366617248668243301e+00,2.802137411938701312e+18,4.213705553202911360e+17,1.678657120081590891e+09,1.255082262719051540e+08,1.738451645880349609e+13
1.373959276886889791e+00,2.805587297715590144e+18,4.304743262111763840e+17,1.679882037727767706e+09,1.281263554652453214e+08,1.784250632156728125e+13
1.381301305105536281e+00,2.813332143724768768e+18,4.387696701125716480e+17,1.682360568208988667e+09,1.304029820966617018e+08,1.825658194848718359e+13
1.388643333324182771e+00,2.817493934503802368e+18,4.466714490982618880e+17,1.683771760553401709e+09,1.326401414855226129e+08,1.866849103849658984e+13
1.395985361542829262e+00,2.825802715404848640e+18,4.542345630616001280e+17,1.686398623723654985e+09,1.346759172687851787e+08,1.905523600849372266e+13
